2E0AGB,Allen
2E0CFK,Paul
2E0CVJ,Dan
2E0DIJ,Duane
2E0DIQ,Andy
2E0DYP,Wayne
2E0ESJ,Mike
2E0ESY,Mike
2E0FEH,Karl
2E0FFM,John
2E0FGQ,Nick
2E0FTD,David
2E0GGI,Rob
2E0HKM,James
2E0HPI,Carl
2E0JBQ,Doug
2E0KDF,Albert
2E0KVJ,David
2E0MBT,Mike
2E0MDJ,Matt
2E0MIX,Derek
2E0MMM,no name
2E0NAQ,Nick
2E0NHM,Nigel
2E0NJE,Nil
2E0OOO,Roy
2E0RMV,Jules
2E0SYK,Paul
2E0TFC,Frank
2E0UOG,Tony
2E0VBE,Duncan
2E0VMV,Rod
2E0VOV,Mark
2E0WDX,Vin
2E0WGA,Ant
2E0WUF,Arentas
2E0YVX,Baz
2E0YYY,Mike
2E0ZAI,Barry
2E1HTE,Chris
2E1HTG,Steve
2E1RAF,Roy
2M0AMG,no name
2M0NCM,Neil
2M0ROT,Stuart
2M0RRT,Mark
2M0SKJ,Steven
2N4AO,Gennadiy
2O0OOO,Roy
2W0DAA,Dave
2W0FLW,Derek
2W0JYN,Steven
2W0KPH,Ken
2W0LYD,Barry
2W0NON,Jack
2W0WDS,Wayne
2W0XOT,John
2W0YYY,Mike
3B9FR,Robert
3B9HA,Olof
4K6FO,Alim
4K9W,Vlad
4L1MA,Anatoly
4L6QL,Michael
4O3RB,Ruz
4O3RR,Raif
4O7DST,Paul
4S7NE,Nelson
4U0ITU,ITU Club Station
4U1ITU,ITU-HQ-Radio Station
4X1IF,Ralph
4X1WQ,Avi
4X1ZZ,Howard
4X4DZ,Arthur
4X6HP,Yuli
4Z4DX,Dov
4Z5NX,Victor
4Z5PF,Victor
4Z5RT,Vsevolod
4Z5SG,Savelij
4Z5TT,Isaak
5A3ENB,Jo
5B4AHL,Dave
5B4AHO,Barry
5B4AIF,Norman
5B4AIX,Noz
5B4ALB,Anton
5E4TN,Walter
5P2X,Bernd
5R8IC,Eric
5T0JL,Jean
5Z90IARU,Rick
7Q7VW,Karl-Heinz
7S5A,Kjell
7X2AR,Amine
7X3WPL,Driss
7Z1SL,Harry
9A15P,Maria
9A1AA,Ivo
9A1A,DX-Club
9A1BOP,Radioklub Osijek
9A1CBM,Radio Club marjan
9A1CC,Marin
9A1CTL,Radio Club Lipik
9A1D, Radio club
9A1DR,Danny
9A1DX,Djuro
9A1FVW,Radio Club
9A1IB,Ivica
9A1KDE,Radio Club Belisce
9A2AA,Tom
9A2B,Boris
9A2DI,Mirko
9A2DS,Zeljko
9A2EU,Zlatko
9A2F,Mirko
9A2GA,Boris
9A2GF,Ivo
9A2HF,Franc
9A2HQ,Mirko
9A2HY,no name
9A2JG,Borivoje
9A2KD,Branko
9A2KI,Istok
9A2NA,Mladen
9A2N,Dado
9A2QG,Gojko
9A2QP,Joe
9A2R,Pilat
9A2SW,Vater (walt)
9A2SY,Ego
9A2T,Zeljko
9A2UA,Stef
9A2UI,Ivica
9A2UN,Bartul
9A2UU,Zvonimir
9A2WJ,Milan
9A2ZR,Dusan
9A3BV,Vlado
9A3DV,Vladimir
9A3FO,Mladen
9A3GI,Dejan
9A3GSV,Vitomir
9A3IH,Dragan
9A3JB,Marinko (Mike)
9A3KS,Livio
9A3LG,Zvonko
9A3MN,Zlatko
9A3NQ,Bono
9A3QL,Ivica
9A3R,Rudy
9A3SM,Mato
9A3ST,Branko
9A3VX,Realdo
9A3YT,Darko
9A4FM,Zdenko
9A4GD,Nevenko
9A4MF,Miroslav
9A4MX,Mario
9A4NA,Zeljko
9A4OE,Damir
9A4VM,Vlado
9A4W,Tom
9A5AAX,Sven
9A5AX,Josip
9A5BVI,Ivo
9A5JR,Ron
9A5KR,Berislav
9A5MX,Sven
9A5O,Sado
9A5SM,Marija
9A5V,Frano
9A5YY,Neven
9A63AA,Tom
9A6ARP,Darko
9A6CW,Ivica
9A6DR,Duby
9A6JOY,Mate
9A6OY,Mate
9A6W,Dragy
9A6ZE,Neno
9A7JCY,Franko
9A7KJI,Hinoko
9A7RA,Domagoj
9A7W,Ozren
9A8RA,Ante
9A9K,Kresimir
9A9L,Leon
9G5ZZ,Arno
9H1FL,Raymond
9H1RA,Ray
9H3AY,Jeff
9H3BS,Bojan
9H3CPS,Geo
9H3DS,David
9H3FC,Kris
9H3FT,Tomek
9H3RV,Rolf
9H3SP,Milosz
9H4RH,Robin
9H5MC,Mike
9H6A,John
A41PG,Ameen
A61Q,Abdulla
A92HK,Fabian
A93JA,Max
AA1JD,Matthew
AA1K,Jon
AA1VX,Dave
AA4AI,Robert
AA4V,Steve
AA7A,Ned
AA7G,Gert
AA7XT,William
AB1YD,James
AB4B,Tim
AB4PP,John-Paul
AB9CA,Charles
AC1Z,Robert
AC2KL,Kevin
AD4AA,Jimmy
AD5A,Mike
AD8P,Bill
AE4FZ,Charles
AH6AX,Lawrence
AI0Q,Alan
AI4SV,John
AK4H,Alan
AK4VU,Michael
AM190AUM,Juan
AO1IMD,Radio Club URE
AO2EU,Mikel
AX2IB,Bernard
AX3CAT,Tony
BA4TB,Dale
BG3UPA,Zhao
BX4AG,Calvin
BY4AE,Club station
BY5CD,Contest club
C4I,Contest Call
C4W,Contest Call
C5YK,Andre
C6AKQ,Bob
Call,Name
CE2LML,Luis
CN2LW,Ludovic
CN8GL,Pirat
CN8KD,Mohamed
CN8NOA,Nori
CN8QN,Achab
CO8LY,Eduardo
CQ90IARU,Delegation REP-Madeira
CR2X,Club station
CR3L,Contest Call
CR3OO,Jose
CR5U,Contest Call
CR7ARW,Slavomira
CS7AFI,Jose
CS7AFM,Sergio
CS7AHQ,Bruno
CS7AMN,Bruno
CT1BOH,Jose Carlos
CT1BQH,Joao Carlos
CT1BWO,Antonio
CT1BWW,Manuel
CT1DBS,Pedro
CT1DHM,Jose Carlos
CT1DRB,David
CT1DRL,Robert
CT1DXT,Joao
CT1EDJ,Jose
CT1EHX,Jose
CT1EUW,Ricardo
CT1GFQ,Carlos
CT1GIF,Altino
CT1GZB,Jose
CT1HIX,Gomes
CT1IUA,Miguel
CT1JGA,Oliver
CT1MH,Antonio
CT2GSN,John
CT2HOV,Nuno
CT2HPM,Joao
CT2HTY,Jos�
CT2IUV,Nuno
CT2IWW,Paulo
CT2IXX,Jacques
CT2JLS,Sergio
CT3KN,Ricardo
CT3MD,Jose
CT4NH,Luis
CT7ABA,Frederico
CT7ABE,Joao
CT7ABE,Joao (John)
CT7ABG,Jose
CT7AEQ,Ted
CT7AEZ,Pedro
CT7AFI,Jos�
CT7AGR,Paulus
CT7AGT,Joquim
CT7ASV,Tim
CU3AA,Joao
CU3AK, Jaime
CU3BL,Manuel
CU3EJ,Leonel
CX2DK,Marcelo
CX2TQ,Paul
CX8TC,Willi
CX90IARU,Radio Club Uruguayo
D3AM,Igor
D44CF,Henryk
D57ZH,Manfred
DA0CB,Clubstation OV Cottbus
DA0CW,Clubstation
DA0CW,DARC Clubstation
DA0NR,Clubstation
DA2ER,Bob
DB1LI,Andi
DB2WD,Jens
DB3JK,Juergen
DB5ABS,Andreas
DB5FG,Frank
DB6VP,Peter
DB7LG,Peter
DB7MM,Michael
DB8BG,Horst
DC0KK,Peter
DC1NSK,Siegfried
DC2CW,Joerg
DC6UA,Edit
DC7AI,Michelle
DC7AZ,Knut
DC7CCC,Mario
DC8MH,Martin
DC8TM,Thomas
DC8YZ,Michael
DD0VE,Ralf
DD1LD,Luk
DD2DF,Wolfhart
DD2TC,Clemens
DD2ZN,Marc
DD3DJ,Dirk
DD3JN,Gert
DD5KG,Gabor
DD5KI,Gunnar
DD5LP,Ed
DD6DO,Stephan
DD6FM,Marco
DD6GC,G�nter
DD6PS,Erwin
DD6UDD,Detlef
DD6UVO,Wine
DD7II,David
DD7WL,Xaver
DD8VX,Matthias (Matt)
DDOVE,Ralf
DE2EF,Frank
DF0KU,Contestgroup Kulmbach
DF0RE,Radio Club
DF0SAX,Club Station
DF1AI,Armin
DF1AKR,Andreas
DF1BN,Paul-Eduard
DF1BV,Andreas
DF1CHB,Cyril
DF1DV,Marcus
DF1MM,Yuri
DF1OE,Roland
DF1OLS,Leo
DF1OM,Lu
DF1PY,Stephan
DF1SD,Kuno
DF1TJ,Eugen
DF1WH,Thomas
DF1XC,Doc DLFF-0030
DF1XM,Guenter
DF1YQ,Gerd
DF2CCM,Charly
DF2DD,Charsten
DF2DM,Bodo
DF2FK,Fabian
DF2GN,Klaus
DF2KK,Josef
DF2PI,Suitbert
DF2RR,Reimer
DF2UD,Bernd
DF2VZ,Herbert
DF2XH,Henno
DF3AX,Ekki
DF3EK,Karl-heinz
DF3FS,Bert
DF3FY,Erhard
DF3IF,Peter
DF3IR,Edmund
DF3IU,Peter
DF3MA,Bernd
DF3MC,Martin
DF3MK,Alfred
DF3OL,Juergen
DF3PN,Hans-Guenter
DF3SM,Ulli
DF3TE,Elfi
DF4BV,Heinz
DF4CW,Johann
DF4FQ,Kurt
